feature,importance
climate_impact_index,0.17065235331286377
impact_3yr_avg,0.1410541170546249
log_total_affected,0.08076980191844359
country_mean_impact,0.0749395759027193
log_total_affected_3yr_avg,0.05896205756799782
impact_trend_5yr,0.054923933406234644
flood_impact,0.05190793327715077
country_recent_deviation,0.04770822888603126
log_total_death_3yr_avg,0.04187003580457481
storms_impact,0.041532822675680495
impact_lag1,0.041480128921835974
extreme_temp_impact,0.0397806730198007
drought_impact,0.039561156558550414
economic_damage_pct_gdp,0.035700767246732316
absolute_impact_trend,0.03212147928106861
log_total_death,0.026474838494997772
impact_std_5yr,0.020560096670692956
hazard_count,0.0
